('Mtrl', 'Width', 'Height', None, None, None, 'This is what I need:', None, None)
('wood', 5, 3, None, None, None, 'glass', None, 'sqf')
('wood', 3, 1, None, None, None, 'metal', 1660, 'sqf')
('glass', 6, 6, None, None, None, 'PVC', 2753, 'sqf')
('glass', 9, 5, None, None, None, 'wood', None, 'sqf')
('wood', 3, 7, None, None, None, None, None, None)
('metal', 11, 4, None, None, None, None, None, None)
('glass', 10, 12, None, None, None, None, None, None)
('PVC', 11, 3, None, None, None, None, None, None)
('glass', 4, 5, None, None, None, None, None, None)
('metal', 3, 4, None, None, None, None, None, None)
('wood', 7, 11, None, None, None, None, None, None)
('PVC', 1, 4, None, None, None, None, None, None)
('wood', 9, 12, None, None, None, None, None, None)
('wood', 6, 2, None, None, None, None, None, None)
('glass', 11, 4, None, None, None, None, None, None)
('glass', 7, 3, None, None, None, None, None, None)
('wood', 7, 10, None, None, None, None, None, None)
('glass', 10, 11, None, None, None, None, None, None)
('PVC', 5, 11, None, None, None, None, None, None)
('glass', 2, 4, None, None, None, None, None, None)
('metal', 6, 11, None, None, None, None, None, None)
('wood', 1, 4, None, None, None, None, None, None)
('PVC', 6, 6, None, None, None, None, None, None)
('wood', 2, 12, None, None, None, None, None, None)
('metal', 5, 6, None, None, None, None, None, None)
('glass', 6, 10, None, None, None, None, None, None)
('PVC', 11, 10, None, None, None, None, None, None)
('glass', 11, 3, None, None, None, None, None, None)
('PVC', 10, 3, None, None, None, None, None, None)
('wood', 8, 11, None, None, None, None, None, None)
('PVC', 3, 4, None, None, None, None, None, None)
('wood', 4, 9, None, None, None, None, None, None)
('wood', 1, 8, None, None, None, None, None, None)
('glass', 9, 6, None, None, None, None, None, None)
('glass', 4, 6, None, None, None, None, None, None)
('wood', 1, 3, None, None, None, None, None, None)
('PVC', 1, 10, None, None, None, None, None, None)
('glass', 2, 1, None, None, None, None, None, None)
('glass', 12, 6, None, None, None, None, None, None)
('wood', 8, 11, None, None, None, None, None, None)
('wood', 3, 3, None, None, None, None, None, None)
('PVC', 11, 8, None, None, None, None, None, None)
('PVC', 12, 9, None, None, None, None, None, None)
('metal', 2, 6, None, None, None, None, None, None)
('metal', 11, 2, None, None, None, None, None, None)
('metal', 3, 2, None, None, None, None, None, None)
('glass', 3, 6, None, None, None, None, None, None)
('glass', 6, 10, None, None, None, None, None, None)
('wood', 9, 2, None, None, None, None, None, None)
('metal', 6, 5, None, None, None, None, None, None)
('glass', 5, 2, None, None, None, None, None, None)
('PVC', 2, 4, None, None, None, None, None, None)
('glass', 10, 4, None, None, None, None, None, None)
('metal', 5, 9, None, None, None, None, None, None)
('wood', 12, 5, None, None, None, None, None, None)
('PVC', 9, 3, None, None, None, None, None, None)
('wood', 10, 4, None, None, None, None, None, None)
('wood', 10, 6, None, None, None, None, None, None)
('glass', 9, 6, None, None, None, None, None, None)
('glass', 2, 7, None, None, None, None, None, None)
('wood', 12, 2, None, None, None, None, None, None)
('metal', 5, 3, None, None, None, None, None, None)
('glass', 8, 11, None, None, None, None, None, None)
('PVC', 7, 6, None, None, None, None, None, None)
('glass', 8, 1, None, None, None, None, None, None)
('metal', 9, 4, None, None, None, None, None, None)
('wood', 7, 6, None, None, None, None, None, None)
('PVC', 1, 7, None, None, None, None, None, None)
('wood', 8, 1, None, None, None, None, None, None)
('wood', 2, 9, None, None, None, None, None, None)
('glass', 1, 11, None, None, None, None, None, None)
('glass', 4, 12, None, None, None, None, None, None)
('wood', 4, 12, None, None, None, None, None, None)
('glass', 6, 9, None, None, None, None, None, None)
('PVC', 9, 5, None, None, None, None, None, None)
('glass', 8, 6, None, None, None, None, None, None)
('metal', 6, 5, None, None, None, None, None, None)
('wood', 1, 4, None, None, None, None, None, None)
('PVC', 7, 4, None, None, None, None, None, None)
('PVC', 3, 2, None, None, None, None, None, None)
('metal', 11, 9, None, None, None, None, None, None)
('wood', 4, 4, None, None, None, None, None, None)
('wood', 8, 5, None, None, None, None, None, None)
('PVC', 12, 9, None, None, None, None, None, None)
('PVC', 5, 6, None, None, None, None, None, None)
('wood', 5, 10, None, None, None, None, None, None)
('PVC', 6, 1, None, None, None, None, None, None)
('wood', 8, 12, None, None, None, None, None, None)
('wood', 12, 6, None, None, None, None, None, None)
('glass', 11, 2, None, None, None, None, None, None)
('glass', 5, 11, None, None, None, None, None, None)
('wood', 10, 3, None, None, None, None, None, None)
('PVC', 8, 10, None, None, None, None, None, None)
('glass', 10, 9, None, None, None, None, None, None)
('glass', 3, 5, None, None, None, None, None, None)
('wood', 8, 6, None, None, None, None, None, None)
('wood', 4, 9, None, None, None, None, None, None)
('PVC', 8, 9, None, None, None, None, None, None)
('PVC', 12, 7, None, None, None, None, None, None)
('metal', 12, 4, None, None, None, None, None, None)
('metal', 5, 9, None, None, None, None, None, None)
('metal', 6, 4, None, None, None, None, None, None)
('glass', 7, 10, None, None, None, None, None, None)
('glass', 4, 10, None, None, None, None, None, None)
('wood', 2, 3, None, None, None, None, None, None)
('metal', 9, 3, None, None, None, None, None, None)
('glass', 10, 12, None, None, None, None, None, None)
('PVC', 1, 9, None, None, None, None, None, None)
('glass', 7, 5, None, None, None, None, None, None)
('metal', 12, 12, None, None, None, None, None, None)
('wood', 8, 11, None, None, None, None, None, None)
('PVC', 5, 1, None, None, None, None, None, None)
('wood', 5, 1, None, None, None, None, None, None)
('wood', 5, 12, None, None, None, None, None, None)
('glass', 12, 9, None, None, None, None, None, None)
('glass', 8, 11, None, None, None, None, None, None)
('metal', 11, 6, None, None, None, None, None, None)
('wood', 11, 9, None, None, None, None, None, None)
('PVC', 5, 12, None, None, None, None, None, None)
('wood', 4, 9, None, None, None, None, None, None)
('wood', 10, 3, None, None, None, None, None, None)
('glass', 6, 1, None, None, None, None, None, None)
('glass', 10, 1, None, None, None, None, None, None)
('wood', 9, 4, None, None, None, None, None, None)
('metal', 1, 7, None, None, None, None, None, None)
('glass', 4, 8, None, None, None, None, None, None)
('PVC', 3, 8, None, None, None, None, None, None)
('glass', 4, 2, None, None, None, None, None, None)
('metal', 10, 8, None, None, None, None, None, None)
('wood', 5, 4, None, None, None, None, None, None)
('PVC', 9, 2, None, None, None, None, None, None)
('wood', 12, 8, None, None, None, None, None, None)
('wood', 12, 8, None, None, None, None, None, None)
('glass', 7, 3, None, None, None, None, None, None)
('glass', 6, 7, None, None, None, None, None, None)
('wood', 4, 7, None, None, None, None, None, None)
('glass', 12, 12, None, None, None, None, None, None)
('PVC', 1, 11, None, None, None, None, None, None)
('glass', 12, 7, None, None, None, None, None, None)
('metal', 5, 3, None, None, None, None, None, None)
('wood', 6, 3, None, None, None, None, None, None)
('PVC', 2, 6, None, None, None, None, None, None)
('PVC', 11, 8, None, None, None, None, None, None)
('metal', 6, 3, None, None, None, None, None, None)
('PVC', 10, 11, None, None, None, None, None, None)
('glass', 3, 8, None, None, None, None, None, None)
('metal', 6, 7, None, None, None, None, None, None)
('wood', 3, 9, None, None, None, None, None, None)
('PVC', 1, 5, None, None, None, None, None, None)
('PVC', 9, 3, None, None, None, None, None, None)
('metal', 6, 4, None, None, None, None, None, None)
('wood', 12, 5, None, None, None, None, None, None)
('PVC', 5, 12, None, None, None, None, None, None)
('wood', 9, 10, None, None, None, None, None, None)
('metal', 4, 1, None, None, None, None, None, None)
('glass', 11, 7, None, None, None, None, None, None)
('PVC', 10, 8, None, None, None, None, None, None)
('glass', 6, 9, None, None, None, None, None, None)
('PVC', 10, 3, None, None, None, None, None, None)
('wood', 11, 1, None, None, None, None, None, None)
('PVC', 7, 2, None, None, None, None, None, None)
('wood', 1, 12, None, None, None, None, None, None)
('wood', 7, 4, None, None, None, None, None, None)
('glass', 4, 5, None, None, None, None, None, None)
('glass', 12, 8, None, None, None, None, None, None)
('wood', 5, 2, None, None, None, None, None, None)
('PVC', 3, 2, None, None, None, None, None, None)
('glass', 12, 12, None, None, None, None, None, None)
('glass', 7, 1, None, None, None, None, None, None)
('wood', 11, 7, None, None, None, None, None, None)
('wood', 9, 8, None, None, None, None, None, None)
('PVC', 9, 9, None, None, None, None, None, None)
('PVC', 2, 4, None, None, None, None, None, None)
('metal', 11, 6, None, None, None, None, None, None)
('metal', 1, 8, None, None, None, None, None, None)
('metal', 3, 8, None, None, None, None, None, None)
('glass', 7, 10, None, None, None, None, None, None)
('glass', 12, 2, None, None, None, None, None, None)
('wood', 6, 5, None, None, None, None, None, None)
('metal', 9, 12, None, None, None, None, None, None)
('glass', 10, 7, None, None, None, None, None, None)
('PVC', 2, 4, None, None, None, None, None, None)
('glass', 11, 4, None, None, None, None, None, None)
('metal', 4, 8, None, None, None, None, None, None)
('wood', 10, 9, None, None, None, None, None, None)
('PVC', 9, 2, None, None, None, None, None, None)
('wood', 6, 9, None, None, None, None, None, None)
('wood', 3, 12, None, None, None, None, None, None)
('glass', 11, 12, None, None, None, None, None, None)
('glass', 3, 3, None, None, None, None, None, None)
('wood', 8, 2, None, None, None, None, None, None)
('metal', 3, 1, None, None, None, None, None, None)
('glass', 3, 3, None, None, None, None, None, None)
('PVC', 12, 3, None, None, None, None, None, None)
('glass', 1, 3, None, None, None, None, None, None)
('metal', 8, 2, None, None, None, None, None, None)
('wood', 12, 11, None, None, None, None, None, None)
('PVC', 10, 4, None, None, None, None, None, None)
('wood', 8, 8, None, None, None, None, None, None)
('wood', 8, 12, None, None, None, None, None, None)
('glass', 12, 3, None, None, None, None, None, None)
('glass', 7, 1, None, None, None, None, None, None)
('wood', 10, 5, None, None, None, None, None, None)
('glass', 10, 3, None, None, None, None, None, None)
('PVC', 6, 3, None, None, None, None, None, None)
('glass', 10, 5, None, None, None, None, None, None)
('metal', 5, 4, None, None, None, None, None, None)
('wood', 3, 5, None, None, None, None, None, None)
