,0,1,2,3,4
0,,,,,
1,Data Table,,,,
2,,,,,
3,Work,Material,Category 1,Category 2,Category 3
4,1,Material 1,0,0,0.75
5,1,Material 2,0,25.43,0
6,1,Material 3,0.72,0,0
7,2,Material 1,0,5.82,0
8,2,Material 1,0,0,4.9
9,2,Material 2,3.89,0,0
10,,,,,
11,,,,,
12,,,,,
13,Report Format,,,,
14,,,,,
15,Work,Category Type,Material,Category Value,
16,1,Category 1,Material 1,,
17,1,Category 2,Material 2,,
18,1,Category 3,Material 2,,
19,2,Category 1,Material 1,,
20,1,Category 3,Material 2,,
21,1,Category 2,Material 3,,
