8,9,10,11,12,13,14
,Total,,177266.4,,,
,,,,,,
,,,,,,
,Yearly Totals - PE,,,,,
,Rentals,14755,,,,
0.2,Sales,117800,,,,
0.4,Commercial,12335,,,,
0.2,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
0.2,Yearly Totals - GF,,,,,
0.2,Rentals,32874,,,,
0.2,Sales,61575,,,,
0.35,Commercial,0,,,,
,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
0.2,Yearly Totals - CC,,,,,
0.2,Rentals,6400,,,,
0.35,Sales,0,,,,
,Commercial,0,,,,
,,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00
,,,,,,
,,,,,,
