Emp Code,Month (YYYYMM),Month,Hours,Moving Average Amount,Moving Aveage  (four months exceed 48)
11,2017/06,2017-06-01,40,,n/a - less that 4 weeks
11,2017/07,2017-07-01,60,,n/a - less that 4 weeks
11,2017/08,2017-08-01,70,,n/a - less that 4 weeks
11,2017/09,2017-09-01,0,42.5,Less that 48
11,2017/10,2017-10-01,44,43.5,Less that 48
11,2017/11,2017-11-01,54,42.0,Less that 48
11,2017/12,2017-12-01,34,33.0,Less that 48
11,2018/01,2018-01-01,50,45.5,Less that 48
11,2018/02,2018-02-01,60,49.5,More than 48
11,2018/03,2018-03-01,70,53.5,More than 48
11,2018/04,2018-04-01,60,54.8,More than 48
11,2018/05,2018-05-01,50,60.0,More than 48
22,2017/06,2017-06-01,50,,n/a - less that 4 weeks
22,2017/07,2017-07-01,50,,n/a - less that 4 weeks
22,2017/08,2017-08-01,50,,n/a - less that 4 weeks
22,2017/09,2017-09-01,50,,More than 48
22,2017/10,2017-10-01,50,,More than 48
22,2017/11,2017-11-01,50,,More than 48
22,2017/12,2017-12-01,50,,More than 48
22,2018/01,2018-01-01,12,,Less that 48
22,2018/02,2018-02-01,12,,Less that 48
22,2018/03,2018-03-01,70,,Less that 48
22,2018/04,2018-04-01,80,,Less that 48
22,2018/05,2018-05-01,90,,More than 48
