| Seattle | 1693 | 1621 | 129 | 136 | 129 | 116 | 120 | 105 | 126 | 138 | 126 | 132 | 178 | 164 | 119.0 |
| Toledo | 928 | 1102 | 126 | 126 | 120 | 17 | - | - | 2 | 75 | 148 | 163 | 150 | 173 | 139.0 |
| Other ports | 15329 | 16654 | 1567 | 1476 | 1089 | 663 | 655 | 724 | 778 | 1198 | 1828 | 2228 | 2717 | 2660 | 2093.0 |
| Total | 34619 | 35167 | 3160 | 3079 | 2571 | 1875 | 1825 | 1801 | 2032 | 2662 | 3694 | 4177 | 4791 | 4657 | 3837.0 |

Net registered tonnage (in thousands of tone)

| Unnamed: 0_level_0 > Unnamed: 0_level_1 | Fiscal year > 1940 | Fiscal year > 1941 | 1940 > Sept. | 1940 > Oct. | 1940 > Nov. | 1940 > Dec. | 1941 > Jan. | 1941 > Feb. | 1941 > Mar. | 1941 > Apr. | 1941 > May | 1941 > June | 1941 > July | 1941 > Aug. | 1941 > Sept. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ashahulula | 875 | 871 | 96 | 85 | 86 | - | - | - | - | 22 | 110 | 166 | 187 | 158 | 145 |
| Baltimore | 2119 | 2329 | 236 | 177 | 166 | 176 | 186 | 209 | 133 | 246 | 222 | 179 | 211 | 196 | 211 |
| Boston | 1953 | 1712 | 148 | 123 | 125 | 129 | 163 | 162 | 157 | 133 | 124 | 105 | 141 | 133 | 94 |
| Buffalo | 897 | 883 | 102 | 75 | 116 | 18 | - | - | - | 63 | 168 | 136 | 123 | 105 | 90 |
| Corpus Christi | 1052 | 270 | 43 | 36 | 25 | 24 | 5 | 5 | 13 | 15 | 15 | 5 | 6 | 4 | 13 |
| Detroit | 1552 | 1722 | 224 | 197 | 172 | 39 | 4 | - | - | 92 | 167 | 296 | 323 | 286 | 231 |
| Oakveston | 1197 | 614 | 80 | 60 | 52 | 57 | 39 | 44 | 28 | 40 | 52 | 34 | 36 | 31 | 63 |
| Houston | 1735 | 842 | 94 | 110 | 92 | 86 | 68 | 74 | 40 | 30 | 19 | 35 | 18 | 49 | 75 |
| Los Angeles | 5098 | 4329 | 348 | 414 | 405 | 382 | 370 | 332 | 363 | 323 | 360 | 326 | 279 | 202 | 125 |
| Miami | 881 | 457 | 48 | 46 | 48 | 51 | 28 | 23 | 29 | 16 | 24 | 34 | 27 | 28 | 34 |
| Mobile | 483 | 498 | 56 | 39 | 46 | 41 | 44 | 47 | 25 | 39 | 15 | 30 | 23 | 35 | 26 |
| New Orleans | 3140 | 3063 | 225 | 290 | 267 | 241 | 258 | 207 | 245 | 286 | 319 | 221 | 227 | 236 | 175 |
| New York | 16580 | 13538 | 985 | 1174 | 981 | 967 | 1011 | 961 | 1155 | 1283 | 1334 | 1381 | 1635 | 1656 | 1486 |
| Norfolk & Newport News | 2150 | 1848 | 152 | 158 | 130 | 152 | 165 | 140 | 171 | 116 | 161 | 128 | 175 | 183 | 241 |
| Philadelphia | 1925 | 2162 | 179 | 171 | 174 | 194 | 196 | 188 | 172 | 169 | 185 | 224 | 182 | 219 | 223 |
| Port Angeles, Wash. | 835 | 997 | 84 | 73 | 59 | 59 | 66 | 59 | 62 | 58 | 65 | 121 | 171 | 151 | 77 |
| Port Arthur | 1121 | 549 | 57 | 46 | 55 | 43 | 27 | 30 | 43 | 50 | 34 | 55 | 35 | 39 | 24 |
